id	filename	md5	size	state
0fd9e0fe-0b1c-4abe-81b5-3c26885227dc	0fd9e0fe-0b1c-4abe-81b5-3c26885227dc/87fd60c2-24d6-4559-9c10-9b5631ee7616.wxs.aliquot_ensemble_masked.maf.gz	fcc31b5c0f3c16de11d1ff4fccc6ea20	22199	validated
1036c8c0-70d9-4e41-a7b0-fded70a5eb02	1036c8c0-70d9-4e41-a7b0-fded70a5eb02/16d158a3-778b-40ba-a34e-4069048e542b.wxs.aliquot_ensemble_masked.maf.gz	d7842282fdf21ffcc88b78c8edd377a9	161735	validated
104b2bf4-725a-4e71-8c01-d5e1b47bb74e	104b2bf4-725a-4e71-8c01-d5e1b47bb74e/cc643554-6087-4dcc-a8f3-3a697e059b68.wxs.aliquot_ensemble_masked.maf.gz	baad0d301e10cc9f66feda9d534e6916	74230	validated
113a91ae-092e-455b-91ff-fbc7e3f586b4	113a91ae-092e-455b-91ff-fbc7e3f586b4/6c9bc3f4-ebe1-49dc-ade7-e4c2f1baef0c.wxs.aliquot_ensemble_masked.maf.gz	472708506d6f06320761530318e9bc39	43431	validated
11803bab-e233-4e94-b303-064c0336c447	11803bab-e233-4e94-b303-064c0336c447/13895497-c60c-4f53-a211-434b051e9318.wxs.aliquot_ensemble_masked.maf.gz	88ba9ac7352479ba0a91bff3298601a9	30675	validated
11fc5903-9510-43fd-bbe8-ffb1f47a9d47	11fc5903-9510-43fd-bbe8-ffb1f47a9d47/8ea11d77-fd0f-4b6a-bf77-e76f771c4ab8.wxs.aliquot_ensemble_masked.maf.gz	b8000633befbf45d5141f28224b9b660	27340	validated
12501500-0fab-4779-8b67-b07871c5d009	12501500-0fab-4779-8b67-b07871c5d009/98e908e8-4774-43f2-89fe-00eb350e9d0b.wxs.aliquot_ensemble_masked.maf.gz	b2a14ea39c3813b9f3fd2a1758e14786	37442	validated
12b924ad-cdab-4f69-8a55-e056ed72aab9	12b924ad-cdab-4f69-8a55-e056ed72aab9/bef8e2a3-6a72-49f0-9e6e-e222fcdb0a67.wxs.aliquot_ensemble_masked.maf.gz	ce66e5337def93fee3a6c1aabaac7f20	42545	validated
12cefa7d-a52d-4c4a-b7f9-0c3efadb468b	12cefa7d-a52d-4c4a-b7f9-0c3efadb468b/5b424012-5854-479f-af1e-14031df39146.wxs.aliquot_ensemble_masked.maf.gz	9e8a57feb80c5c78a857c61f38d46de4	117342	validated
14e0ca12-4c76-4260-8819-f53cb8df46a7	14e0ca12-4c76-4260-8819-f53cb8df46a7/efae1084-7861-4104-9a5b-fc7db25aaf53.wxs.aliquot_ensemble_masked.maf.gz	3258bacfd4a2de3e0752eb38b6b42dc3	180102	validated
1511947d-5cff-4a53-95cd-878a43cc9692	1511947d-5cff-4a53-95cd-878a43cc9692/8bf619f4-53e7-4627-8382-b790e5e3c25a.wxs.aliquot_ensemble_masked.maf.gz	22187ee111515b4a7117e23d6909c34f	25886	validated
151c97c7-119f-4ea8-a7c4-4f7ad16611c9	151c97c7-119f-4ea8-a7c4-4f7ad16611c9/88500df6-0a5b-4c2e-997c-10eab38fb25c.wxs.aliquot_ensemble_masked.maf.gz	b3c5a0d97f6d7b629dc0bf9c49eaf1a8	2671	validated
162127a5-94fe-4532-9f69-e898f2d3b08c	162127a5-94fe-4532-9f69-e898f2d3b08c/e367168b-d2c4-4958-a97a-64668281f5c7.wxs.aliquot_ensemble_masked.maf.gz	de9875720c32f7e6983fefc5b6b92505	25478	validated
